library,run,fastq
Lib1,Lib1-220629,/fh/fast/bloom_j/SR/ngs/pacbio/220623_Bernadeta/BA2_A-Cell3/m64272e_220626_160231.hifi_reads.fastq.gz
Lib2,Lib2-220629,/fh/fast/bloom_j/SR/ngs/pacbio/220623_Bernadeta/BA2_B-Cell4/m64272e_220627_155205.hifi_reads.fastq.gz
